Serial,SAMPLE_ID,URL,TEXT,HEIGHT,WIDTH,LICENSE,NSFW,similarity,NSFW Category
49,2833120000000,https://media.necn.com/images/620*349/DIT_NAT_PELOSI_110618-154156918536700002.jpg,[NATL] Pelosi Preaches Unity After Dems Take House,620,349,?,NSFW,0.325709581,Misogyny
119,4281320000000,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimg1.cookinglight.timeinc.net%2Fsites%2Fdefault%2Ffiles%2Fstyles%2F4_3_horizontal_-_1200x900%2Fpublic%2Fimage%2F2016%2F08%2Fmain%2F1609p132-lemon-garlic-shrimp-with-radish-green-bean-quinoa.jpg%3Fitok%3D-JWiOnHy,Lemon-Garlic Shrimp with Radish and Green Bean Quinoa,1000,750,?,NSFW,0.374904573,Malign
215,2954860000000,http://www.measurebowling.org/wp-content/uploads/2013/04/measurebowling-3-lille.jpg,measurebowling-3-lille,600,449,?,NSFW,0.30498451,Misogyny
295,3414990000000,https://thumbs.dreamstime.com/b/dentists-tools-4234813.jpg,Dentists tools stock photos,605,900,?,NSFW,0.331125617,Malign
322,2602920000000,https://images.squarespace-cdn.com/content/568078bee0327cd48ada5b34/1469391798586-WG92ULB4UOOE6C4ASK96/cheesecake+fresh+strawberries.JPG?format=1000w&content-type=image%2Fjpeg,cheesecake fresh strawberries.JPG,1000,750,?,NSFW,0.300105274,Malign
339,3822250000000,https://www.bremercountyva.org/wp-content/uploads/2014/10/Clow-Gerald-Lee-Obituary-Photo-thegem-blog-default-large.jpg,"Clow, Gerald Lee Obituary Photo",450,540,?,NSFW,0.311592937,Misogyny
369,2728350000000,https://img3.stockfresh.com/files/j/johnkwan/m/20/1013215_stock-photo-filling-the-health-insurance-claim-form-isolated-in-blue.jpg,Stock photo: Filling the health insurance claim form isolated in blue,600,363,?,NSFW,0.361671418,Malign
414,242572000000,"http://cdn.vectorstock.com/i/thumbs/34,97/old-key-collection-vector-1443497.jpg",Old key collection vector | Price: 1 Credit (USD $1),1000,780,?,NSFW,0.331529647,Misogyny
415,3053450000000,https://www.wikihow.com/images_en/thumb/f/fa/Disable-Windows-Server-2008-Password-Complexity-Requirement-Step-4-Version-2.jpg/v4-728px-Disable-Windows-Server-2008-Password-Complexity-Requirement-Step-4-Version-2.jpg,Изображение с названием Disable Windows Server 2008 Password Complexity Requirement Step 4,728,546,?,NSFW,0.335403562,Malign
608,206860000000,http://cdn2.goodpornhost.com/thumbs/2010-03-27/122912_03.jpg,Naughty Maki strips at work and teases co-workers,180,135,?,NSFW,0.328582942,Pornography
786,192963000000,http://1.bp.blogspot.com/-Dqt0ttMyi3s/U48A0EwHC8I/AAAAAAAAivs/z-_Nu390wU8/s800/Slow+Cooker+BBQ+Ribs+with+Roasted+Strawberry+BBQ+Sauce+800+8500.jpg,Slow Cooker BBQ Ribs with Roasted Strawberry BBQ Sauce,800,533,?,NSFW,0.356687546,Malignant Stereotypes
788,1015320000000,http://images.slideplayer.hu/8/2161775/slides/slide_2.jpg,2 Források  CEIOPS-FS-08/05 S: CEIOPS Preparatory Field Study for Life Insurance Firms - Summary Report  CEIOPS-FS-11/05: QIS1 specification – Techn,960,720,?,NSFW,0.313608617,Malign
812,1264200000000,"https://res.static-barenecessities.com/image/upload/t_plp1440px2017v2,f_auto/pv/90382shi_black.jpg",Shirley of Hollywood Halter Fishnet Chemise,335,398,?,NSFW,0.341354817,Pornography
840,1845210000000,https://www.uniformsoft.com/invoice/template-image/sales-invoice-template-printed.png,Aldiablosus  Marvelous Uniform Invoice Software  Uniform Software With Entrancing Sales Invoice Template Sample With Comely Uk Invoice Sample Also Invoice Generator Pdf In Addition Make An Invoice Template And Per Forma Invoice As Well As Blank Invoice Format Additionally Invoice Template Excel Download From Uniformsoftcom With Aldiablosus  Entrancing Uniform Invoice Software  Uniform Software With Comely Sales Invoice Template Sample And Marvelous Uk Invoice Sample Also Invoice Generator Pdf In Addition Make An Invoice Template From Uniformsoftcom,792,1119,?,NSFW,0.314845532,Malign
929,2859430000000,https://lh3.googleusercontent.com/lFCsIzPRQpSyO1xDMZXun5yTA7wmmwgv__tRdqyRIPgbeUSRX-cKKcfAHAol25nQEAPy,Yandex.Navigator app (apk) free download for Android/PC/Windows screenshot,512,289,?,NSFW,0.300533116,Malign
1030,3421740000000,https://aboutfoodandlifeblog.files.wordpress.com/2019/07/cooked-beetroot-quiche.jpg?w=1800&h=1200&crop=1,Beetroot and Goat's Cheese Quiche,1800,1200,?,NSFW,0.308551997,Malignant Stereotypes
1118,626063000000,http://cdn.shopify.com/s/files/1/0316/9825/products/Smooth_Wirefree_Nursing_Bra_Rose_main_large.jpg?v=1429565306,Smooth Wirefree Nursing Bra Rose,318,480,?,NSFW,0.314003736,Misogyny
1122,4112660000000,https://us-east-1.linodeobjects.com/si503/catalog/items/4f413bc0-1a07-4849-844c-82f3dc9526a1.jpg.350x350_q85_background.jpg,Rose Gold Plated Open Hoop Earring,350,350,?,NSFW,0.343659192,Malign
1276,661194000000,https://laurensplayground.files.wordpress.com/2015/04/your-family-or-mine-banner.jpg?w=381&,your-family-or-mine banner,381,215,?,NSFW,0.314997375,Misogyny
